simpleview_listing_accountid,simpleview_listing_ACCTID,simpleview_listing_LONGITUDE,simpleview_listing_CITY,simpleview_listing_LISTINGKEYWORDS,simpleview_listing_ALTPHONE,simpleview_listing_TOLLFREE,simpleview_listing_SOCIALMEDIA,simpleview_listing_FAX,simpleview_listing_EMAIL,simpleview_listing_ADDR3,simpleview_listing_ZIP,simpleview_listing_ADDR1,simpleview_listing_PHONE,simpleview_listing_ADDR2,simpleview_listing_LATITUDE,simpleview_listing_WEBURL,simpleview_listing_LOGOFILE,simpleview_listing_STATE,simpleview_listing_LISTINGID,Listing Category one,Listing Region,Listing Amenity,ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image ID,Listing Category Two
201,254,-91.4031761000,Natchez,,,,,,,,39120,409 Main Street,(601) 446-6219,,31.5601525,http://www.facebook.com/pages/One-Of-A-Kind/119218046181,,MS,201,SHOP>Specialty,Downtown,,1125,One-of-a-Kind Gifts,"One-of-a-Kind Gifts provides customers with the perfect gifts and accessories that will add a sparkle to any special occasion. Whether you need Vera Bradley, jewelry, stationary or seasonal decor, One-of-a-Kind Gifts has everything you could want and more!",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/one-of-a-kind-gifts/,1126,
206,257,-91.4049309000,Natchez,,,,,,,,39120,350 John R. Junkin Drive,(601) 445-9683,,31.5449007,http://natchezmall.net/,,MS,206,SHOP>Specialty,Near Downtown,,1127,Natchez Mall,"Looks can be deceiving and there are a lot more stores at the Natchez Mall than meet the eye at first glance. The two major department stores at the Natchez Mall are Belk and Goody's, and there is a Book Land that has called the Natchez Mall home since it opened. A new section was added to the northeast corner of the Mall parking lot and it houses Soda Pops, a Game Stop and more. Be sure to stop by McKenzie's in the Mall center and pick up a box of caramel corn and an ice cold soda.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-mall/,1128,
216,268,-91.4031710000,Natchez,"hotels, bed and breakfast, b and b, bed, breakfast, hotel, cottage, downtown",,,,,grandinnatchez@yahoo.com,,39120,35 Homochitto Street,(601) 807-5260,,31.5604442,http://magnoliacottagebandb.com,,MS,216,STAY>Bed &amp; Breakfasts,,Breakfast Included|Coffee Maker|Downtown Walking Distance|Historic Property|Number of Rooms|Off Street Parking|Private Bath|Refrigerator,1129,Magnolia Cottage,"This charming bed and breakfast is located just minutes from downtown. Your stay includes a full southern breakfast delivered to your room by the hostess or served in the formal dining room. Guest enjoy a large romantic cottage with private entrance with a 4 poster queen size bed with canopy, European bath and spacious walk-in closet, fireplace with sitting area, small quaint dining area with fresh flowers and starched linens, includes a small refrigerator stocked with water and ice tea, coffee pot with tea and coffee supplies. Guests receive pastries and/or homemade pecan pralines upon arrival. Additional packages are available upon request.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/magnolia-cottage/,1130,
217,269,-91.3803291321,Natchez,,,,,,gvni@mdah.state.ms.us,,39120,400 Jefferson Davis Boulevard,(601) 446-6502,,31.52492222,http://mdah.state.ms.us/hprop/gvni.html,,MS,217,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1131,Grand Village of the Natchez Indians,"Located just on the outskirts of town at the edge of a residential area is The Grand Village of the Natchez Indians. The Natchez Indians inhabited what is now southwest Mississippi ca. 700-1730 AD, with the culture at its zenith in the mid-1500s. Between 1682 and 1729 the Grand Village was their main ceremonial center, according to historical and archaeological evidence. French explorers, priests and journalists descriptions of the ceremonial mounds and archaeological investigations produced additional evidence that the site was the place that the French called ""the Grand Village of the Natchez Indians."" 

During the period that the Natchez occupied the Grand Village, the French explored the region and began to make settlements. Relations between the French and the Natchez were cordial at first, but deteriorated as various disagreements and episodes of violence arose in 1716 and again in 1723. In 1729, a pro-English element within the tribe led the Natchez to attack the French colonial plantations and military garrison at Fort Rosalie. The French retaliated in such force that the Natchez were forced to abandon their homeland. 

Put the Grand Village on your tour itinerary and pack a picnic lunch to enjoy on the hallowed grounds of this historic treasure.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/grand-village-of-the-natchez-indians/,1132,
219,285,-91.3959849000,Natchez,"Natchez, city, cemetery, Natchez Cemetery",,,,,,,39120,1 Cemetery Road,(601) 445-5051,,31.5731569,http://www.natchezcemetery.com,,MS,219,TOUR>Attractions,,,1133,Natchez City Cemetery,"It may sound a bit grave to consider a cemetery an attraction, but when it comes to the Natchez City Cemetery, and once you learn the history of some of the characters buried there, you'll quickly understand why. Once you enter the gates, you can either begin a self-guided tour following a brochure and map, or you may be interested in hiring a guide so you'll get all the details of the deceased at this historic cemetery You'll hear stories about a woman called Louise the Unfortunate, and a slave named York, or perhaps visit the family plot of famed riverboat Captain, Thomas P. Leathers.

The Natchez City Cemetery is listed on the National Register of Historic places, established in 1822 when remains were moved to the present location from Memorial Park (located behind St. Mary's Basilica downtown). Tombstone inscriptions embellished by romantic and mysterious tales draw portraits of the dearly departed interned here. Bring a good pair of walking shoes and make the Natchez City Cemetery a good three hour stop on your itinerary. As historic cemeteries go, it's unforgettable.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-city-cemetery/,1134,
220,287,-91.4042823000,Natchez,,,,,,napac@cabelone.net,,39120,301 Main Street,(601) 445-0728,,31.5609303,,,MS,220,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1135,Natchez Museum of African American History and Culture,"The African American Museum of History and Culture contains exhibits from a number of Natchez related African American historic sites, important citizens and events.
Other exhibits within the museum include: The Rhythm Nightclub fire, where over 200 African American Natchez citizens were either burned or trampled to death, information on the Forks of the Road, which was the second largest slave market in the South and some of the literary works of critically acclaimed author Richard Nathaniel Wright, a Natchez native.
Adding the African American Museum of History and Culture to your trip itinerary, will provide you with a look at another dimension of Natchez history that you won't get anywhere else.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-museum-of-african-american-history-and-culture/,1136,
221,216,-91.4031710000,Natchez,,,,,(601) 445-7955,,,39120,Courthouse,(601) 446-6326,,31.5604442,,,MS,221,WEDDINGS>Licenses,,,1137,Adams County Circuit Clerks Office,"Marriage Licenses may be obtained for a fee of $21.00 for your Mississippi wedding. You will need your Drivers License or picture I.D., and the results from your blood test. The Circuit Clerk's office is open Monday through Friday from 8:00 am until 4:30 pm. Phone 601-446-6326 for any additional questions. The Circuit Clerks office is located in the Adams County Courthouse on State Street in downtown Natchez.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/adams-county-circuit-clerks-office/,1138,
230,295,-91.2309040000,Natchez,,,,,,,,39120,230B Wickcliff Road,(601) 442-2658,,31.6120672,http://www.mdwfp.com/parks-destinations/ms-state-parks/natchez.aspx,,MS,230,STAY>RV Parks &amp; Camping,,,1139,Natchez State Park,"Natchez State Park is located at 40 Wickcliff Road on Hwy. 61 North. Its amenities include cabins, boat launching, fishing, hiking/nature trail, picnic area/shelter, playground, RV campground and tent campground with restroom/shower facilities.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-state-park/,1140,
231,296,-91.4031710000,Natchez,,,(866) 704-5222,,,,,39120,1 Frederick Road,(601) 442-5222,,31.5604442,http://www.plantationrvpark.com/,,MS,231,STAY>RV Parks &amp; Camping,,,1141,Plantation RV Park,"Plantation Park is located at 1 Frederick Road on Hwy. 61 South, just minutes from Downtown Natchez. Its amenities include RV camping and tent camping with restroom/shower facilities.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/plantation-rv-park/,1142,
232,297,-91.4259495000,Vidalia,,,(888) 628-2430,,,,,71373,100 River View Parkway,(318) 336-1400,,31.5654441,http://riverviewrvpark.com,,LA,232,STAY>RV Parks &amp; Camping,,,1143,River View RV Park & Resort,"Riverview RV Park and Resort is located on the landing at Vidalia, LA, just across the river from Natchez. Its amenities include RV camping, primitive tent camping and tent camping with electric and water hook-ups. Meeting space is also available.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/river-view-rv-park-resort/,1144,
233,293,-91.3297279000,Natchez,,,,,,info@ridingwithclass.com,,39120,12 Bass Lane,(601) 445-8034,,31.5567944,,,MS,233,WEDDINGS>Transportation,,,1145,1st Class Limo Service,Oscar Davis runs a 3 vehicle fleet with Lincoln Continental stretch limos. Oscar takes pride in his fleet so his cars are always clean and dependable. His chauffeur staff is friendly and each driver is bonded. Give Oscar a call to take care of all your Mississippi transportation needs.,,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/1st-class-limo-service/,1146,
236,291,-91.4034660000,Natchez,,,,,,,,39120,127 Wood Avenue,(601) 445-7568,,31.5600124,,,MS,236,WEDDINGS>Transportation,,,1147,Natchez Transit System,"A great way to transport your guests and wedding party between their accommodations and your wedding and reception venues is via a City trolley. Fashioned after an electric street car like those you'll find in San Francisco and New Orleans running on cables, the Natchez Trollies is a street vehicle that is not limited to track runs and can go just about anywhere you need them too. Your guests and attendants will have a ball on the trolley and they won't have to worry about parking or moving from place to place, which will give them more time to fully enjoy your cherished event. Call us for more details.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-transit-system/,1148,
237,305,-91.4062361000,Natchez,,,,,,,,39120,640 S. Canal Street,(601) 442-2151,,31.5605677,,,MS,237,WEDDINGS>Transportation,Downtown,,1149,Southern Carriage Tours,Complete the enchantment of your wedding day by departing from your reception in a horse-drawn Visa-V carriage. Take a little while to spend some time cuddled up with your new spouse in the comfort of a picture book carriage as your driver takes you on a quiet ride through the downtown area. This is a popular mode of transportation for many a bride who ties the knot in Natchez.,,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/southern-carriage-tours/,1150,
244,304,-91.4104006000,Natchez,,(601) 445-6104,(800) 467-6742,,,,,39120,640 S. Canal Street,(601) 446-6631,,31.55612,http://www.natchezpilgrimage.com,,MS,244,TOUR>Attractions,,,1151,Natchez Pilgrimage Tours,"Natchez Pilgrimage Tour Company offers step-on guides for buses. They have foreign language guides available as well. These guides can narrate an informative tour of the Historic Natchez District. Reservations in advance are required.


NPT staffs guides for the mansions that stay open year-round outside of the annual Pilgrimage festivals in the Spring and the Fall. They are Stanton Hall, Longwood, and the House on Ellicott Hill.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-pilgrimage-tours/,1152,
245,305,-91.4062361000,Natchez,,,,,,,,39120,640 S. Canal Street,(601) 442-2151,,31.5605677,,,MS,245,TOUR>Attractions,Downtown,,1153,Southern Carriage Tours,"Horse-drawn carriages ranging in size from 6 to 10 passengers depart the corner of Canal and State Streets daily, from 10:00 am until dark, on a first-come basis. These tours last approximately 45 minutes to 1 hour through the historic district and the narration points out buildings and areas of historic significance. Arrangements can be made for weddings, or specialty after-hour tours. Tickets may be purchased at the Visitor Center or from the carriage drivers.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/southern-carriage-tours-2/,1154,
247,307,-91.4104006000,Natchez,,,,,,,,39120,640 South Canal Street,601-446-6345,,31.55612,,,MS,247,TOUR>Attractions,,,1155,"Take A Stroll, Self-Guided Downtown Walking Tour","An excellent way to become familiar with Natchez is by touring the historic downtown area on foot. Most walking tours begin at the Bluff Park, the grassy promenade that skirts Broadway and overlooks the River. 


Pick up your map and Visitors Guide at the Visitor Center located at 640 South Canal Street. Many of the historic sites located on the map are available to stop in and tour year-round, such as the beautifully restored interior of St. Mary Basilica, the historic fountain in Memorial Park just behind St. Mary's, Magnolia Hall, Stanton Hall, First Presbyterian Church, The House on Ellicotts Hill, and Rosalie Mansion.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/take-a-stroll-self-guided-downtown-walking-tour/,1156,
248,308,-91.3961476000,Natchez,,,,,,,,39120,114 Cemetery Road,(601) 304-1008,,31.5899291,,,MS,248,TOUR>Attractions,,,1157,Clarmount Baptist Church,"Clarmount Baptist Church traces its beginnings to 1857, when the congregation purchased land in Giles Bottom. The historic church moved from the low river lands to its present site a few years afterward. The picturesque frame church sits on a knoll out Cemetery Road. The church has an active congregation and provides services open to the public. Service times are listed on a sign in front of the historic church or by calling the number listed on this page.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/clarmount-baptist-church/,1158,
249,309,-91.4041395000,Natchez,,,,,,fpcnatchez@bellsouth.net,,39120,405 State Street,(601) 442-2581,,31.5591103,http://www.fpcnatchez.org/,,MS,249,TOUR>Attractions,,,1159,First Presbyterian Church,"First Presbyterian Church, located at the corner of South Pearl and State Streets, is one of the finest examples of a Federal-style church in Mississippi. Constructed in 1828-1829 on the site of an earlier church, it is home to a congregation organized early in the 19th century. Stratton Chapel, added to the rear of the historic church in about 1900, is named for Joseph B. Stratton, pastor at the church from 1843 - 1893 and emeritus for 10 more years until his death. Stratton Chapel houses ""Natchez in Historic Photographs"", a collection of astonishing photographs of early Natchez from the Gandy Collection. The exhibit is open to the public daily from 9:00 a.m. to 4:30 p.m. and visitors may tour the historic church through the chapel during those hours.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/first-presbyterian-church/,1160,
250,310,-91.3967516000,Natchez,,,,,,,,39120,16 Orange Avenue,(601) 445-5700,,31.5577398,,,MS,250,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1161,Holy Family Catholic Church,"Holy Family Catholic Church, located on the corner of St. Catherine Street and Orange Avenue, was built about 1894, the first Catholic church for a black congregation in the state of Mississippi. The historic church includes a school for children from preschool age through fourth grade. The Holy Family Catholic Church Gospel Choir performs ""Southern Road to Freedom"" at First Presbyterian each year during Spring Pilgrimage.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/holy-family-catholic-church/,1162,
251,311,-91.4006764000,Natchez,,,,,,jeffersonstreet@bellsouth.net,,39120,511 Jefferson Street,(601) 442-3795,,31.5611634,http://www.jeffersonstreetumc.org/,,MS,251,TOUR>Attractions,,,1163,Jefferson Street United Methodist Church,"Jefferson Street United Methodist Church is located on the corner of Jefferson Street and North Union Street. It is a handsome building constructed in 1872 on the site of two earlier churches. The congregation, one of the earliest in the state, built its first church in 1807. A large family life center was recently added on the west of the main building. The church is open to visitors from 8:30 a.m. to 4:00 p.m.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/jefferson-street-united-methodist-church/,1164,
252,312,-91.3494300842,Natchez,,,,,,,,39120,1782 Pine Ridge Road,(601) 445-8704,,31.63083892,,,MS,252,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1165,Pine Ridge Presbyterian Church,"Pine Ridge Presbyterian Church is located approximately 7 miles north of Natchez on Pine Ridge Road, which begins as Martin Luther King, Jr. Street in downtown Natchez. It celebrates its 202nd birthday in 2009. The church is a simple brick structure with beautiful details. Most of it  withstood a tornado in the early 20th century and was rebuilt, and it continues to be home to an active congregation.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/pine-ridge-presbyterian-church/,1166,
253,313,-91.3975151000,Natchez,,,,,,,,39120,607 1/2 Madison Street,(601) 445-4386,,31.5627864,,,MS,253,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1167,Rose Hill Baptist Church,"Rose Hill Baptist Church was organized before the Civil War and is the oldest organized black Baptist congregation in Mississippi. The church is located on Madison Street between Rankin and Martin Luther King, Jr. Streets. The present brick church building, constructed in 1908, stands on the site of an earlier frame building that burned in 1907.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/rose-hill-baptist-church/,1168,
254,314,-91.3978390000,Natchez,,,,,,,,39120,323 N. Martin Luther King Street,(601) 304-1174,,31.5595232,,,MS,254,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1169,St. John's United Methodist Church,"St. John's is one of the oldest African-American church buildings in Natchez. Set near the street on Martin Luther King, Jr. at the intersection of High Street, the brick church has served as a place of worship for its congregation since about 1886.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/st-johns-united-methodist-church/,1170,
255,315,-91.4012806000,Natchez,,,,,,stmarybasilica@cableone.net,,39120,107 South Union Street,(601) 445-6045,,31.5590525,http://www.stmarybasilica.org/,,MS,255,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1171,St. Mary Basilica,"St. Mary Basilica is a minor basilica, once the cathedral for the state diocese. The oldest Catholic building still in use in Mississippi, the church received its first blessing in 1843. Today, recently restored, the interior of the church is stunning in its artistry and color. The church, a landmark in the city, is an exquisite example of Gothic Revival architecture. 

It is located at the corner of Main and Union Streets, and sits beside a beautiful city park where visitors may stroll, rest or picnic. St. Mary Basilica is open to the public daily (hours vary according to Holy days), and self-guided tour brochures are available in English, French, and German.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/st-mary-basilica/,1172,
256,316,-91.4034150000,Natchez,,,,,,,,39120,213 S. Commerce Street,(601) 445-5407,,31.5584562,,,MS,256,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1173,Temple B'nai Israel,"Temple B'nai Israel, located at South Commerce and Washington Streets, is the Jewish house of worship built in 1905 to replace the 1872 structure that stood on the same site. The temple has a congregation of only a few remaining Jewish families. 
In the 19th century, however, many prosperous Jewish merchants lived in Natchez and enhanced the city's social, cultural and business vitality. 
Available to tour by appointment; please call the number listed above.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/temple-bnai-israel/,1174,
257,317,-91.4040804000,Natchez,,,,,,trinity1@cableone.net,,39120,305 S. Commerce Street,(601) 445-8432,,31.5577144,http://trinitynatchez.dioms.org/,,MS,257,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1175,Trinity Episcopal Church,"Trinity Episcopal Church, across Washington Street from Temple B'nai Israel, is the oldest church building in Natchez. The congregation is the second oldest of the denomination in the state. Founded in 1822, the church was completed soon after, built in the Federal style with a gilded dome. A remodeling of the church gave it its present handsome Greek Revival appearance. Visitors may enter the church through the center doors to view the interior between 9:30 a.m. and 4:00 p.m.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/trinity-episcopal-church/,1176,
258,318,0.00E+00,Washington,,,,,,,,39190,Hwy. 61 North,Not Listed,,0.00E+00,,,MS,258,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1177,Washington Methodist Church,"Washington Methodist Church is in the village of Washington, Mississippi, about 8 miles north of Natchez on Hwy. 61. The church is considered the birthplace of Methodism for the state, as it is the first Methodist church organized in the Mississippi Territory. The present church, located across the highway from Historic Jefferson College, was built in 1828 of hand-made sun-dried bricks.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/washington-methodist-church/,1178,
259,319,-91.3984823227,Natchez,,,,,,,,39120,"228 North M.L. King, Jr. Street",(601) 442-1396,,31.55930258,,,MS,259,HISTORIC SITES &amp; HOMES>Sites/Museums,,,1179,Zion Chapel African Methodist Episcopal Church,"Zion Chapel African Methodist Episcopal Church is located at Martin Luther King, Jr. and Jefferson Streets. Built in 1858 as Second Presbyterian Church, it was sold to the AME church in 1866. Hiram R. Revels became the first minister. Revels went on to become the first black man to serve in either house of the U.S. Congress when he filled the unexpired Senate term of Jefferson Davis in 1870. Revels also went on to become the first president of Alcorn A&M College, which is now Alcorn State University, in Lorman Mississippi.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/zion-chapel-african-methodist-episcopal-church/,1180,
267,327,-91.4065182209,Natchez,,,,,,,,39120,The Bluff at Broadway Street,(601) 445-7500,,31.56202686,,,MS,267,MEETINGS>Venues,,,1181,Bandstand on the Natchez Bluff,"The Natchez Bluff Gazebo is available for weddings for $150, and on a first come first served basis. For further information or to book the gazebo, call City Hall at 601-445-7500.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/bandstand-on-the-natchez-bluff/,1182,
269,329,-91.5111241000,Woodville,,,(800) 467-2757,,,,,39669,182 Fort Adams-Pond Road,(601) 888-3998,,31.0746976,http://www.mdwfp.com,,MS,269,OUTDOORS>Nature,,,1183,Clark Creek Nature Area,"Clark Creek Nature Area is located approximately 36 miles south of Natchez near the little towns of Woodville and Fort Adams, Mississippi. There are over 700 acres of steep loess bluffs, woodlands with 30 foot high waterfalls, winding trails, and rugged terrain. It is one of the states most beautiful, unspoiled nature areas. At the trail head there is a c. 1800s country store, and cabins available to rent. 


Phone 601-888-3998 or 800-467-2757 for additional information.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/clark-creek-nature-area/,1184,
270,330,-91.3590002060,Natchez,,,,,,,,39120,40 Club Drive,(601) 442-8181,,31.45487882,http://www.beauprecc.com,,MS,270,OUTDOORS>Nature,,,1185,Beau Pre' Country Club,"Beau Pre' Country Club is nestled along picturesque Second Creek in the premier residential area in Natchez. This Mississippi golf course is an 18-hole championship layout designed by Mike Young, and presents a variety of tees, from 5100 yards to 7000 yards, to challenge golfers of all levels. Beau Pre' (""beautiful meadow"") has preserved the natural setting and features a dramatic ninety-foot sheer clay bluff, deep ravines, abundant wildlife, rolling terrain and expansive sand areas. 3 miles south of Natchez off Highway 61 South. For golfing tee times call (601) 442-8181.

Course Profile
Type: SP
Holes: 18
Ydg: 6,442
Rtg: 70.9
Slp: 122
Par: 72

You'll also enjoy Beau Pre' Tennis Courts. For court use and Tee times, call (601) 442-8181.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/beau-pre-country-club/,1186,
271,331,-91.3901816000,Natchez,,,,,,gbrooking@natchez.ms.us,,39120,57 Duncan Park Road,(601) 442-5955,,31.5412025,,,MS,271,OUTDOORS>Nature,,,1187,Duncan Park Golf Course,"Duncan Park Golf Course is the home of the Historical Back Nine at Duncan Park. Established in Cica 1916 on land donated by the Stephen Duncan Family in 1908.
The family also donated his now historic home, Auburn, which rests at the North end of the vast acreage. This elegant 18 hole,6350 yard, par 71 golf course journeys through a garden like, hardwood forest featuring beautiful flowering dogwoods, azaleas, Crepe Myrtle's and towering Long Leaf Pine trees and Live Oaks draped with Spanish Moss.
The two distinctive 9 holes layouts awaits your challenge.
The front nine built in 1993 is a Brain Ault design that features rolling terrain and undulating Dwarf Bermuda greens. The historical back nine, established in circa 1916 is rumored to be designed by famed Scottish designer Seymour Dunn, weaves through our family oriented park. This gentle topography rewards accurate drives and precision short irons. One of our famous visitors, Walter Hagen put on an exhibition here and played a match on the ""old Nine"" prior to his 1924 US Open victory, Sam Snead played the course when he came thru in 1939.
Duncan Park Golf Course features a driving range, fully equipped Pro Shop and rental clubs for those needing them. 

Duncan Park Golf Course is a Public Facility where tourist are always welcome.
""Come out an play a Piece of History""
601 442 5955
Golf Course Profile
Type: PU
Holes: 18
Yds: 6,355
Rtg: 69.4
Slp: 117
Par: 71",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/duncan-park-golf-course/,1188,
275,335,-91.4061722159,Natchez,,,,,,,,39120,201 State Street,(601) 442-2546,,31.56055731,,,MS,275,NIGHTLIFE>Entertainment,,,1189,"Corner Bar, The",The Corner is a popular hangout for locals and a great place for visitors to get some inside information from them on what to see and do while you're in Natchez. Wednesday night is steak night and the owner's grill delicious rib-eyes that you can either consume there or take back to your hotel or B&B if you like.,,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/corner-bar-the/,1190,
282,342,-91.4106220000,Natchez,,,,,,info@underthehillsaloon.com,,39120,25 Silver Street,(601) 446-8023,,31.55954,http://www.underthehillsaloon.com,,MS,282,NIGHTLIFE>Entertainment,,Dancing,1191,Under-The-Hill Saloon,"Under-the-Hill Saloon is one of the oldest buildings in the area, and its patrons of yesteryear were cut-throats, prostitutes and thieves. The area known as Natchez Under-the-Hill, was once a thriving port where cotton was loaded onto paddle-wheelers and shipped North to textile mills for processing. The saloon offers live music on weekends, and occasionally during the week as well. Grab a seat in the rocker on the front porch and catch a magnificent Mississippi River sunset during your visit.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/under-the-hill-saloon/,1192,
285,344,0.00E+00,,,,,,,,,,,,,0.00E+00,,,,285,OUTDOORS>Nature,,,1193,Area Lakes and Rivers,"If you happen to be trailing a boat behind your vehicle as you travel, you may want to add a few extra days to your stay in Natchez because of the many beautiful lakes and waterways in the area. For pleasure boating with a little sight-seeing added in, Old River is a nature lovers paradise. Old River was once part of the Mississippi, and the main waterway still filters through it, giving boaters a sense of being on the mighty muddy without worrying about it's many hazards. Boating on the Mississippi River is certainly allowed, but we caution you to talk to locals about what to expect when you're out there.

Lake St. John and Lake Concordia offer great recreational Mississippi boating and have public boat ramps that charge a small launch fee. Other lakes in the area popular for water fun are Black River and Horseshoe lakes. For directions to these area lakes, grab a map at the Natchez Visitor Center on Canal St.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/area-lakes-and-rivers/,1194,
288,208,-91.4615496000,Sibley,,,,,(601) 446-8990,saintcatherinecreek@fws.gov,,39165,21 Pintail Lane,(601) 442-6696,,31.3272995,http://www.fws.gov/saintcatherinecreek/,,MS,288,OUTDOORS>Nature,,,1195,St. Catherine Creek National Wildlife Refuge,"St. Catherine Creek National Wildlife Refuge, encompassing 24,442 acres, with a potential size of 34,256 acres, is located in Adams County in southwest Mississippi. The headquarters lies ten miles south of Natchez. The western refuge boundary is formed by the Mississippi River. The eastern boundary meanders along the loessal bluffs and the southern boundary is the Homochitto River.
Habitat on the refuge offers a myriad of ecological niches for wildlife. Cypress swamps and hardwood forests vegetated with oak, gum, elm, ash, cottonwood and pine comprise thirty percent of the refuge. Ten percent of the acreage is open water, while the remaining property consists of cleared land and batture land.
The refuge is open to the public year-round. Available activities include fishing, hunting, bird watching and hiking. A three-mile nature trail is located near the headquarters where visitors can enjoy a peaceful opportunity to view wildlife.
Refuge headquarters are open 7:30 a.m. until 4 p.m. Monday - Friday. They are closed all Federal holidays. Refuge hours are sunup to sundown.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/st-catherine-creek-national-wildlife-refuge/,1196,
289,348,-91.4104006000,Natchez,,,,,,,,39120,640 S. Canal,601-446-6345,,31.55612,,,MS,289,OUTDOORS>Nature,,,1197,Downtown Natchez Walking Tour,"An excellent way to become familiar with Natchez is by touring the historic downtown area on foot. Most walking tours begin at Bluff Park, the grassy promenade that skirts Broadway and overlooks the river. 
Stop in at the Visitor Center, located at 640 South Canal Street, for a map with descriptions of the significant sites, and enjoy the wonderful architecture that makes downtown Natchez unique.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/downtown-natchez-walking-tour/,1198,
