id,subtype,is_active,name,slug,body,meta_title,meta_description,meta_keywords,searchable,deleted_at,created_at,updated_at,is_converted
113,default,1,Sun & Stars Giveaway,sun-stars-giveaway,,Sun & Stars Giveaway,"On Friday, February 9, before the Dallas Stars take on the Pittsburgh Penguins at American Airline Center, the city’s newest beach destination and official Florida destination of the Dallas Stars is bringing the beach to Dallas for a great cause. The Bradenton Area (Bradenton, Anna Maria Island, Longboat Key) on Florida’s West Coast, in partnership with the Stars, will host a large-scale shoe drive benefitting Dallas LIFE, a nationally acclaimed homeless recovery program located right in Dallas.

The Sun and Stars Giveaway event will take place outside of the arena in Victory Plaza, beginning at 6 p.m. Attending fans, as well as the general public, are invited to visit the Bradenton Area beaches and stop by a destination-branded booth to trade in their new or gently used shoes for a pair of flip flops – with all shoe donations going to Dallas LIFE. 

Grand prize is an all expenses paid vacation to beach paradise in the Bradenton Area!",,"Sun & Stars Giveaway Sun & Stars Giveaway On Friday, February 9, before the Dallas Stars take on the Pittsburgh Penguins at American Airline Center, the city’s newest beach destination and official Florida destination of the Dallas Stars is bringing the beach to Dallas for a great cause. The Bradenton Area (Bradenton, Anna Maria Island, Longboat Key) on Florida’s West Coast, in partnership with the Stars, will host a large-scale shoe drive benefitting Dallas LIFE, a nationally acclaimed homeless recovery program located right in Dallas. The Sun and Stars Giveaway event will take place outside of the arena in Victory Plaza, beginning at 6 p.m. Attending fans, as well as the general public, are invited to visit the Bradenton Area beaches and stop by a destination-branded booth to trade in their new or gently used shoes for a pair of flip flops – with all shoe donations going to Dallas LIFE. Grand prize is an all expenses paid vacation to beach paradise in the Bradenton Area!Attachment: 20180202203808-Landingpageheader-V41.jpeg 20180202203808-landingpageheader-v41.jpeg Deck Welcome to Dallas' Newest Beach Destination On Friday, February 9th your donation of a pair of shoes to Dallas LIFE will score you a pair of beach-ready flip-flops.&nbsp;Join us starting at 6pm in Victory Plaza at American Airlines Center&nbsp;to enter for the chance to win a three night trip to the Official Florida Destination of the Dallas Stars - Bradenton/Anna Maria Island/Longboat Key on Florida's West Coast.&nbsp; Article-Subsection Sun & Stars Giveaway - GRAND PRIZE Package includes: One (1)&nbsp;three night stay at Waterline Resort &amp; Marina&nbsp;on Anna Maria IslandTwo (2) round-trip airline tickets into Tampa International Airport provided by the Dallas StarsTwo (2) tickets for a dolphin boat tour with Paradise Boat ToursTwo (2) tickets to the South Florida MuseumTwo (2) free rounds of mini-golf at The Fish HoleOne (1) meal for two at Gulf Drive CafeOne (1) meal for two at Anna Maria Oyster Bar on the PierOne (1) meal for two at Poppo&rsquo;s TaqueriaOne (1) meal for two at The Donut Experiment&nbsp;Vouchers for any rental of your choice at Beach Bums&nbsp;Rentals Article-Subsection Sun & Stars Giveaway - SECOND PRIZE A Dallas Stars/Bradenton Area 10 ft co-branded stand-up paddle board and paddle signed by Jamie Benn and Tyler Seguin Article-Subsection Sun & Stars Giveaway - THIRD PRIZE Six (6) lower level tickets to the Dallas Stars vs. Boston Bruins game on March 23, 2018 Article-Subsection CLICK HERE FOR GIVEAWAY TERMS &amp; CONDITIONSBlackout dates include March 28-April 2, July 1-7 and December 26-31. Reservations are based on availability. A ticket to the February 9th game is not required to participate. ",,2018-01-04 19:58:23,2018-10-02 11:02:51,1
114,default,1,Media Videos,media-videos,,Media Videos,,,Media Videos Media Videos Attachment: 20171109143737-Hdr-2-Anna-Maria.jpeg 20171109143737-hdr-2-anna-maria.jpeg Sub-Sections-Nav Html Container Article-Subsection Accommodations Article-Subsection Wineries Article-Subsection Sunsets Article-Subsection Shopping Article-Subsection Palmetto Article-Subsection Museums Article-Subsection Longboat Key Article-Subsection Beaches Article-Subsection Lakewood Ranch Article-Subsection Fishing Article-Subsection Dining Article-Subsection Bradenton Article-Subsection Boating Article-Subsection Anna Maria Island Article-Subsection AgriTourism,,2018-01-09 19:25:34,2018-10-02 11:02:52,1
115,navigation,1,Crafted Vacation Old,crafted-vacation-1522675839,,Craft a vacation as unique as you are,"Create a custom itinerary complete with beach time, arts and culture and award-winning restaurants in beautiful Bradenton, Florida. Submit your itinerary for a chance to visit Bradenton, Anna Maria Island and Long Boat Key.",,"Crafted Vacation Old Craft a vacation as unique as you are Create a custom itinerary complete with beach time, arts and culture and award-winning restaurants in beautiful Bradenton, Florida. Submit your itinerary for a chance to visit Bradenton, Anna Maria Island and Long Boat Key.Attachment: 20171109184121-Hdr-Crafted-Vacation.jpeg 20171109184121-hdr-crafted-vacation.jpeg Deck A pinch of relaxation, a dash of adventure, mix in some fresh discoveries and you’ve got all you need for the best vacation memories ever. The Bradenton, Anna Maria Island, Longboat Key area offers you some of the most original and intriguing vacation experiences in the entire state of Florida. Come laze on island beaches, immerse yourself in the local bohemian culture of our Village of the Arts, ride horseback on Palm Sola Bay, take a visitors’ tour of a local farm, or enjoy locally caught seafood as you dine with your feet in the sand of a beachfront restaurant. Truth is, there’s so much to do and enjoy here, visitors return again, year after year, making it their favorite Florida destination. So create a getaway as original as you are. See you soon! Html Container Tout: Itineraries - Crafted Vacation Itineraries - Crafted Vacation Suggested Itineraries Island escape or downtown adventure? Party of two or family fun? We have itineraries to fit any vacation style. Tout: Explore Tout - Crafted Vacation Explore Tout - Crafted Vacations Explore Get to know the people, places, activities, and more that make the Bradenton Area a unique vacation getaway. Tout: Travel Guide - Crafted Vacation Travel Guide - Crafted Vacation Travel Guide This beautiful guide is your space to explore, chart your finds, and record your experiences in the Bradenton Area.",,2018-04-02 09:30:39,2018-10-02 11:02:52,1
116,default,1,"Bradenton Area Beer, Wine & Spirits",get-to-know-the-bradenton-area-breweries,,"Bradenton Area Beer, Wine & Spirits","The Bradenton Area is dedicated to all-things local, and that also extends to the home town beer, wine and spirit-makers. The area’s craft breweries use local flavors to make some bodacious brews, many that are best enjoyed while relaxing under the Florida sun. Not to be outdone, the local winemakers and distillery make sipping vino or a cocktail a refreshing experience unique to our area.",,"Get to Know the Bradenton Area Breweries Get to Know the Bradenton Area Breweries The Bradenton Area is dedicated to living local, and that also extends to its beer. The area’s local craft breweries use local flavors to make some tasty brews that are best enjoyed while relaxing under the warm Florida sun. Check out the craft breweries that make drinking in the Bradenton Area a refreshing experience.Attachment: 20180409153604-Motorworks-Brewing-Sjekputld8Zubsjsvoj9Ymq-Rgb-S.jpeg 20180409153604-motorworks-brewing-sjekputld8zubsjsvoj9ymq-rgb-s.jpeg Deck The Bradenton Area is dedicated to living local, and that also extends to its beer. The area&rsquo;s local craft breweries use local flavors to make some tasty brews that are best enjoyed while relaxing under the warm Florida sun. Check out the craft breweries that make drinking in the Bradenton Area a refreshing experience. Html Container Attachment: 20180409152833-22770946-1583899435022530-1615765576626526212-O.jpeg Darwin Brewing Company Influenced by the flavors and spices of South America&rsquo;s Andean and Amazonian Regions, Darwin Brewing Company is a fun hangout for locals and visitors alike. The brewery sources fresh products from Florida and often craft microbrews inspired by the Sunshine State&rsquo;s unique flavors. Their taproom is conveniently located across from LECOM Park, so their beers make a great pairing with a baseball game. 20180409152833-22770946-1583899435022530-1615765576626526212-o.jpeg Attachment: 20180409152951-20507633-1411430925638298-6765176447313477750-O.jpeg 3 Keys Brewing & Eatery 3 Keys Brewing &amp; Eatery is as committed to serving fresh, local flavors in their beer as they are to making some really great grub. This is truly a place to go when you&rsquo;re craving a tasty beer and a great burger. And the best part? 3 Keys makes an effort to be a family-friendly gathering place that appeals as much to craft beer enthusiasts as it does to families with children out for a good meal or a few pints with friends while the kids play. 20180409152951-20507633-1411430925638298-6765176447313477750-o.jpeg Attachment: 20180409153253-Capture.png Motorworks Brewing The Bradenton Area&rsquo;s first brewery, Motorworks boasts the largest beer garden in Florida, complete with a spacious deck built around a magnificent 150+ year-old oak tree and lots of outdoor games to keep the night fun. Motorworks is a favorite among locals due to its downtown location, frequent events (try yoga in the beer garden or their monthly moonlite market), and every-growing tap list including serval award-winning brews. 20180409153253-capture.png Attachment: 20180409153343-22713550-1449197531866757-4978165448983785926-O.jpeg Naughty Monk Brewery Boasting Belgium-inspired beers, Naughty Monk Brewery is the first brewery in the upscale community of Lakewood Ranch, but, based on its popularity it&rsquo;s sure to not be the last. Naughty Monk has dozens of fresh flavors on tap along with games like pool, cornhole, darts and more. Not a bad way to spend a night! 20180409153343-22713550-1449197531866757-4978165448983785926-o.jpeg ",,2018-04-09 15:12:27,2022-03-23 16:47:55,1
117,default,1,"Pittsburgh Pirates, MLB Spring Training return to the Bradenton Area",spring-training-2023,,"Pittsburgh Pirates, MLB Spring Training return to the Bradenton Area","The Pittsburgh Pirates spring training season starts on opening day, Saturday, February 25 at LECOM Park where the team will host the Toronto Blue Jays. The Pirates are one of 14 teams in  Major League Baseball’s Grapefruit League. The 14 teams all have spring training locations in sunny Florida.",,"Exploring a Community Staple - The South Florida Museum Exploring a Community Staple - The South Florida Museum We thought we knew everything there was to know about the museum after making several visits over the years. That was until recently when we sat down with the museum’s Communications Director, Jessica Schubick, and their Provost, Jeff Rodgers. During our interview, we learned that there is so much more to this long-standing museum than meets the eye.Attachment: 20180425113015-Southfloridamuseum-Sgt79Xfij32Ux24Jun3Jjpn-Rgb-L.jpeg 20180425113015-southfloridamuseum-sgt79xfij32ux24jun3jjpn-rgb-l.jpeg Html Container Article-Subsection For any long-term resident of the Bradenton Area, the South Florida Museum has always been a standing fixture in their lives. We thought we knew everything there was to know about the museum after making several visits over the years. That was until recently when we sat down with the museum’s Communications Director, Jessica Schubick, and their Provost, Jeff Rodgers. During our interview, we learned that there is so much more to this long-standing museum than meets the eye. Attachment: 20180425114604-Img-Ss0192.png So much so, that when prompted with ‘how are we ever going to fit all of this into one story’, both Jessica and Jeff responded “you can’t.” With that in mind, where does one even begin to explain everything the South Florida Museum has to offer? “The South Florida Museum is a natural history and cultural history museum focused on Florida,” Jessica offered. That sounded simple enough, but then she continued, “The museum tells the story of earth, life, and beyond through Florida as a microcosm,” instantly expanding our understanding of the museum’s offerings ten-fold. The museum includes the main natural history exhibit, along with the Bishop Planetarium and the Parker Manatee Rehabilitation Aquarium, which is a second-stage stage center where injured or orphaned manatees are cared for before they are released back into the wild. But the South Florida Museum isn’t just a small place for artifacts - it’s a staple of the Bradenton Area community. Originally located on the Memorial Pier, the museum has been part of Bradenton’s history since 1946. 20180425114604-img-ss0192.png Attachment: 20180425114841-Img-0201.png “Our founding collection, which can still be found in the museum, was the collection of Florida-based amateur archaeologist Montague Tallant,” Jessica told us. Despite his career as a furniture store owner, Tallant ended up saving much of Florida’s history through his hobby. When the Smithsonian Institute expressed interest in his vast collection, local leaders came together to acquire nearly half of his artifacts in an effort to preserve their area’s history. 20180425114841-img-0201.png Attachment: 20180425115203-Bishopstars-Sk2Zch1Wzvekdvttz50Bcis18Q0Ablzbh-Rgb-L.jpeg The museum later expanded and was moved to its current location in 1966. The move to a larger location also included the addition of the Bishop Planetarium. “It was bigger than any planetarium you’d expect to see in a community of our size,” Jeff said. “And it was state-of-the-art when it was built. The community thinking was well ahead of its time.” After a fire in 2001, the planetarium was completely rebuilt and re-opened four years later. “Again, forward thinking,” Jeff noted. He explained that they again adopted state-of-the-art technology and become one of the first planetariums to use digital technology, which they continue to update as technology grows today. That includes a 3D digital map of the entire observable universe. 20180425115203-bishopstars-sk2zch1wzvekdvttz50bcis18q0ablzbh-rgb-l.jpeg Article-Subsection One of Jeff’s favorite planetarium presentations is a 19-minute show narrated by Tom Hanks called Passport to the Universe. The show takes you from Earth to the furthest edges of the known universe. “Invariably, people walk out with a different respect for their place in the universe,” Jeff said. “The word I hear most often is ‘insignificant’.” Attachment: 20180425115951-Img-0216.png A fan favorite section of the museum is undeniably the Parker Manatee Aquarium. In 1993, the museum became a founding member of the Manatee Rehabilitation Partnership and got their first rehab manatee in 1998. “We’ve cared for 36 manatees during our time in the partnership,” Jessica explained. “That’s really something we’re proud of – we really take in these manatees that were injured, or sick, or abandoned and then we care for them until they’re ready to be released back into the wild.” 20180425115951-img-0216.png Attachment: 20180425120441-Img-0247.png Often you’ll see visitors watching the manatees for long periods of time. “I think people like seeing their individual personalities,” Jessica said. “With the three we have right now, I’ve found that they’re curious about different things. It’s fun for visitors to see that they’re not just blobs in the water.” With all their knowledge and time spent in the museum, it's easy to forget that Jessica and Jeff are just regular Bradenton area locals. In their free time, Jessica enjoys the local craft breweries and Jeff spends his time in the many nature preserves. Both are foodies, and love how the local culinary scene is blossoming. 20180425120441-img-0247.png Article-Subsection Both Jessica and Jeff wants locals and visitors alike to understand that the South Florida Museum is constantly growing and evolving. “We’re not a dusty little hometown museum,” Jeff expressed. “There’s always something going on.” That includes their events, upcoming exhibits, and expansions, like their upcoming Mosiac Backyard Universe. “Stop by any day and I guarantee you’ll be surprised by something you encounter,” Jessica concluded. Article-Subsection The South Florida Museum is located at 201 10th Street West in Bradenton, Florida. They are open 10:00 AM - 5:00 PM Tuesday through Saturday, 12:00 PM - 5:00 PM Sunday, and are closed on Monday. Click here for their official website.",,2018-04-25 11:24:29,2023-01-19 11:36:54,1
118,default,0,Sun & Stars Giveaway,beaches-and-blues,,Beaches & Blues | Bradenton Blues Fest,,,"Sun & Stars Giveaway Beaches & Blues | Bradenton Blues Fest Attachment: 20180509110700-20180202203808-Landingpageheader-V41.png 20180509110700-20180202203808-landingpageheader-v41.png Deck Welcome to Dallas' Newest Beach Destination On Friday, February 9th your donation of a pair of shoes to Dallas LIFE will score you a pair of beach-ready flip-flops.&nbsp;Join us starting at 6pm in Victory Plaza at American Airlines Center&nbsp;to enter for the chance to win a three night trip to the Official Florida Destination of the Dallas Stars - Bradenton/Anna Maria Island/Longboat Key on Florida's West Coast.&nbsp; Article-Subsection Sun & Stars Giveaway - GRAND PRIZE Package includes: One (1)&nbsp;three night stay at Waterline Resort &amp; Marina&nbsp;on Anna Maria IslandTwo (2) round-trip airline tickets into Tampa International Airport provided by the Dallas StarsTwo (2) tickets for a dolphin boat tour with Paradise Boat ToursTwo (2) tickets to the South Florida MuseumTwo (2) free rounds of mini-golf at The Fish HoleOne (1) meal for two at Gulf Drive CafeOne (1) meal for two at Anna Maria Oyster Bar on the PierOne (1) meal for two at Poppo&rsquo;s TaqueriaOne (1) meal for two at The Donut Experiment&nbsp;Vouchers for any rental of your choice at Beach Bums&nbsp;Rentals ",2018-05-09 11:55:01,2018-05-09 11:05:40,2018-05-09 11:55:01,0
119,default,1,Beaches & Blues,beaches-blues,,Beaches and Blues,,,"Beaches & Blues Beaches and Blues Attachment: 20180523141812-Gpageheader-V41.png 20180523141812-gpageheader-v41.png Deck The Blues Sound Better in Bradenton The Bradenton Blues Festival is a can't-miss three day experience that will have blues lovers jamming all weekend long. The best part? The Bradenton Area is home to amazing beaches, dining, nature preserves, attractions and more, making it the perfect place to vacation while listening to your favorite tunes. The festival sells out every year and tickets go fast so be sure to act quick and start planning your beachy blues vacation to the Bradenton Area!&nbsp; Buy Your Tickets Today! Deck Don't Miss These Bradenton Area Favorites! Attachment: 20180522165544-Ssssas.png 1. The Bradenton Riverwalk Spanning 1.5 miles along the sparkling Manatee River, the Bradenton Riverwalk is a great way to spend your sunny Florida afternoon. Grab a sweet treat at Corwin&rsquo;s Ice Cream and Smoothies and hang out on one of the outdoor living rooms, or bring the family and enjoy the splashpad and playground. The best part is you can enjoy the Riverwalk while jamming out because the annual Bradenton Blues Fest takes place at the Event Pavilion! 20180522165544-ssssas.png Attachment: 20180522165757-Sad.png 2. Beaches &ldquo;Old Florida&rdquo; still thrives on the Bradenton Area's 16 miles of sugar white beaches, with options for those looking to snorkel, shell, play beach volleyball or enjoy some seclusion. Even better, Coquina Beach on Anna Maria Island was recently named one of the world&rsquo;s top island beaches for perfect sand by Conde Nast Traveler readers. 20180522165757-sad.png Attachment: 20180522165936-Asdf.png 3. Waterfront Dining From rivers and lakes to bays and the Gulf of Mexico, there's always a gorgeous body of water to sit by (or jump in) in the Bradenton Area. And the best part is our waterfront dining. Spend your vacation with your toes in the sand and dining on fresh seafood by the turquoise waters of the Gulf on Anna Maria Island, or having a first class steak at the riverside dining establishments in historic downtown Bradenton.&nbsp; 20180522165936-asdf.png Attachment: 20180523113254-Dssds.jpeg 4. The South Florida Museum Boasting a natural history museum, a state-of-the-art planetarium, and a second stage rehabilitation aquarium for injured manatees, the South Florida Museum is a gem not to be missed. With all it has to offer &ndash; from learning about some of the oldest history known about Florida to watching the gentle giants of the sea do barrel rolls in their temporary home &ndash; it&rsquo;s easy to spend hours in this small but mighty museum. 20180523113254-dssds.jpeg Attachment: 20180518122030-Screen-Shot-2018-05-18-At-114646-Am.png 5. Robinson Preserve Tucked into the corner of northwest Bradenton, Robinson Preserve includes 487 acres of coastal saltern, marsh, and mangrove habitat combined with a hiking/biking trail and endless kayaking opportunities. These systems attract a variety of rare wildlife, presenting careful observers with an opportunity to see roseate spoonbills, wood storks, white pelicans, bald eagles, and least terns in their natural environment. 20180518122030-screen-shot-2018-05-18-at-114646-am.png Attachment: 20180522161013-Sssss.jpeg 6. Breweries Bradenton is a city dedicated to living local, and that extends to its beer. Craft breweries like Darwin Brewing Company, Motorworks Brewing, Naughty Monk Brewery and 3 Keys Brewing and Eatery use local flavors to make some tasty, award-winning brews that are best enjoyed while relaxing under the warm Florida sun. 20180522161013-sssss.jpeg Attachment: 20180522160943-Large-Islandroutes-222-Isl-Saf-Eco-Kayak-Syyo0Twe8Pqvkzc9Iugwclp-Rgb-L.jpeg 7. Eco Kayak Tours Take a tour&nbsp;through the Bradenton Area's clear blue waters and into its intricate mangrove system. Their tour leaders are experts on the area&rsquo;s ecosystem and will tell you all about its native species. And perhaps the most exciting part is that you&rsquo;ll get to see some of that wildlife! Be sure to keep your eyes peeled for dolphins, manatees, splashing mullet, or even sea turtles. 20180522160943-large-islandroutes-222-isl-saf-eco-kayak-syyo0twe8pqvkzc9iugwclp-rgb-l.jpeg Attachment: 20180522155717-Beach-Sunset-Sshxze5Zryuvw0Q8Zyi0Jtp-Rgb-S.jpeg 8. Unforgettable Sunsets There are plenty of things the Bradenton Area is known for, but perhaps the most impressive are its sunsets. No two sunsets are ever alike &ndash; the colors can range from hues of orange and yellow to purple and sky blue, often over the course of just a few minutes. There are plenty of places to watch the sun drop, whether it be sitting on the powder-soft sand of Anna Maria Island or dining riverside in downtown Bradenton. But regardless of where you choose to watch it, a Florida west coast sunset is sure to leave a lasting impression. 20180522155717-beach-sunset-sshxze5zryuvw0q8zyi0jtp-rgb-s.jpeg Article-Subsection Bradenton Blues Festival tickets are on sale now. Get your tickets today! Start planning your Bradenton Area vacation now! &nbsp; ",,2018-05-09 11:55:21,2018-10-02 11:02:53,1
120,default,1,Facilities Crisis,facilities-crisis,,Facilities Crisis,,,Facilities Crisis Facilities Crisis Attachment,,2018-06-14 16:17:24,2018-10-02 11:02:53,1
121,contest,1,Adrenaline Row,adrenaline-row,,Adrenaline Row,,,"Adrenaline Row Adrenaline Row Attachment Article-Subsection Celebrating Excitement Bradenton, Florida’s Adrenaline Row turns an anniversary into an adventure By Kelli Hann There’s nothing like moving to put a spotlight on how much stuff you have. Standing in the garage, staring at nearly a dozen boxes headed to charity, my husband, Rob, said, “We have to stop the madness.” From that moment on, all our gifts to each other have been “experience” gifts. Exotic restaurants, snorkeling, weekend getaways, beach days. Fun and adventure over things. So, when our wedding anniversary came up, we opted for an action-packed weekend of water sports. We wanted to pack in tons of activities without spending all weekend driving. With a quick web search, Rob discovered Adrenaline Row in Bradenton. Adrenaline Row is a mile-long strip of land that goes from Bradenton across Palma Sola Bay to Anna Maria Island. There’s a lot to do there: horseback riding (or surfing), the beach, jet skiing, kayaking, fishing, flyboarding…we had trouble choosing! Finally, after much discussion (and a snarky QuizUp battle to see who got to pick the hotel) I went online and reserved kayaks, jet skis, a horseback riding tour, and a flyboarding lesson. Our adrenaline-fueled anniversary in the Bradenton area was on! Do More Outdoors in Bradenton ➤ Share this Kayaking dream come true We arrived at our hotel Friday night, so we’d be ready to roll in the morning. After breakfast, we headed to The Surfer Bus. It’s an actual bus—vintage-beachy-surfer-cool, with SUPs strapped on top and paddles in blue, red and yellow leaning in a row against the wood-paneled side—we had just rolled into a 1960s surfer movie. The Surfer Bus is loaded with fun “C’mon Kelli, stop Instagramming and let’s go!” Rob insisted. Rob helped me launch my kayak into the calm water of the bay then eased in beside me. We chose the self-guided Robinson Preserve Tower Route. After crossing a short stretch of open water, we glided into a narrow passage with mangroves on either side that arched over us to form a tunnel. It was magical—all I could hear was the soft waves of the water against the mangrove roots and the occasional splash of Rob’s paddle. Light filtered through the canopy, making dots of sunlight dance like fairies. As soon as the path widened, I signaled Rob to go ahead of me so he could go through the next mangrove tunnel first. Make playful friends About halfway through the trip we were crossing a wide area together when suddenly Rob whispered, “Kelli, dolphins!” He was pointing just in front of us to the left. A few seconds later I heard a light huff then saw a fin rise out of the water, arching up then sliding back under without so much as a ripple. It was followed by another fin, another huff—two dolphins. I’d never seen dolphins in the wild and was shaking with excitement. Rob’s eyes were as big as plates and we were both grinning like fools. We got to see them surface six times before we turned back. Bucket list: kayak with dolphins. Check. Kayak with the dolphins in Bradenton ➤ Share this Two kinds of rides Wave from the waves Our next stop was across the street for jet skiing. We had no sooner hopped on when Rob shot off like a bullet. I punched it to keep up, leaning into the wind. Jet skiing always makes me giddy. It’s that same feeling you get when you run down a hill so fast your legs aren’t quite keeping up—that buzz you get when you’re part flying and part falling and completely free. “Watch this!” Rob called as he did a circle around me. Watch? Oh, no, not today. DO. The rest of the hour was spent trying to one-up each other, until Rob won the day with a daredevil move where he spun around to create waves, then revved the clutch to “hop” over them. I tried it, but only managed to drench myself. Even then, it was so much fun I didn’t want to head back in. But we had plans for dinner and a movie, so I hollered, “Last one back is the designated driver!” My cocktails were delicious. Water horse—not to be confused with a seahorse The next day we found ourselves back on Adrenaline Row, this time at BeachHorses™ to try HorseSurfing™. After getting to know our horses and trainers, our group of 12 rode in a jagged line along the beach. The day was hot, but the sun made both water and sand sparkle and I felt a wave of contentment. Soon we turned the horses and headed into the bay. As the cool water washed over my legs and up to my waist, I let it lift me slightly, gliding and floating at the same time, weightless. Once the horses were swimming (they swam surprisingly fast), the trainers showed us how to surf. It looked easy. When it was my turn to try, I got my legs under me in a frog crouch, planted my feet, slowly rose up, and SPLASH! After many tries, I finally got the rhythm of the horse’s swimming motion and managed to stay standing. “Take a picture, take a picture!” I yelled at Rob. Luckily, he was already on it—he’d been GoPro filming my wipeouts the whole time. When I was done, he handed me the camera and had his own clumsy go at it. That video is better than any anniversary present money could buy. Experience horse surfing in Bradenton ➤ Share this High intensity thrills Trade the high rise for a high ride! We closed out our trip with a flyboarding lesson at TOP GUN Flyboards. After a short how-to (and how not to) briefing, Rob rode out with our guide/guru, Jonathan. They got into position. There was a suspenseful moment of quiet then the jet ski that supplies the water propulsion to the flyboard rumbled to life. Slowly Rob rose out of the water. He got about a foot up before he fell backward, but he was soon up again. After about 15 minutes of short lifts and big falls, he seemed to get the hang of it and managed a few wobbly spins. Watching Rob have all that fun had me psyched to try it. As soon as the jet ski revved up and I started to lift out of the water, I knew I was hard-core hooked. There was nothing holding me down or back. No resistance of equipment or gravity. I was floating, flying—I was a superhero. Rising out of the water, hovering in the air with my arms hanging loose by my sides. Fly like a superhero in Bradenton ➤ Share this Adrenaline Row junkies “How soon can we come back?” I asked as we headed home. “Well, my birthday is coming up.” “The clerk at the hotel lobby told me the Palma Sola Causeway Park right there on Adrenaline Row rented pavilions with grills and tables. We could invite Jenna and Chris, have easy access to all the Adrenaline Row stuff, and then have a cookout.” “Sounds perfect. Let’s do it.” Looks like Adrenaline Row is a gift that’s going to keep on giving. Discover more exciting things to do outdoors in Bradenton, Florida. Related Stories",2018-06-18 16:41:31,2018-06-18 16:39:51,2018-06-18 16:41:31,0
122,default,1,International,international,,,,,"International International Attachment: 20180619123429-Historic-Bridge-Street-Pier-Ami-Scelc4J-D3Qqh7-Vt3X4Aiq-Rgb-L.jpeg 20180619123429-historic-bridge-street-pier-ami-scelc4j-d3qqh7-vt3x4aiq-rgb-l.jpeg Deck Lorem ipsum dolor sit amet Nullam rhoncus sem felis, quis aliquet magna ullamcorper ac. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nullam lacinia molestie bibendum. Cras eget semper mauris, id fermentum lectus. Praesent elementum non nisi sed iaculis. Html Container Attachment: 20180621150535-Frame-Temaplate-Polaroids.png Stay Comfortably The Bradenton Area has a wide variety of accommodations, but if you’re looking for an extra comfortable space considering splurging on a vacation home rental. From sprawling 6-bedroom modern homes to cozy beach cottages, you’ll find it hard to part from your home-away-from-home. See our list of tour operators 20180621150535-frame-temaplate-polaroids.png Attachment: 20180619135004-Frame-Template-Shell.png Amazing Beaches “Old Florida” still thrives on the Bradenton Area's 16 miles of sugar white beaches, with options for those looking to snorkel, shell, play beach volleyball or enjoy some seclusion. Even better, Coquina Beach on Anna Maria Island was recently named one of the world’s top island beaches for perfect sand by Conde Nast Traveler readers 20180619135004-frame-template-shell.png Attachment: 20180619135600-Frame-Template-Sunglasses.png Practice your Swing Nullam rhoncus sem felis, quis aliquet magna ullamcorper ac. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nullam lacinia molestie bibendum. Cras eget semper mauris, id fermentum lectus. Learn more about IMG Academy 20180619135600-frame-template-sunglasses.png Attachment: 20180626102820-Frame-Tempslate-Orange.png Tour an Orange Grove Nullam rhoncus sem felis, quis aliquet magna ullamcorper ac. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nullam lacinia molestie bibendum. Cras eget semper mauris, id fermentum lectus. 20180626102820-frame-tempslate-orange.png",,2018-06-19 12:34:04,2018-10-02 11:02:53,1
123,default,1,Emergency,emergency,,,,,Emergency Emergency Attachment: 20180625115759-Emergency-Landing-Page-2018-Gone-Beach-Final.jpeg 20180625115759-emergency-landing-page-2018-gone-beach-final.jpeg Deck The coast is clear in the Bradenton Area All the bad weather you heard about in Florida never came here – making it the perfect time to pay us a visit! Our island beaches are as pristine and charming as ever and ready for your next getaway. You’ll find intriguing villages and small towns; exciting outdoor adventures; phenomenal dining (many restaurants right on the water); some of Florida’s most important history and heritage sites; and even fascinating agri-tours at many of our area farms. So plan your vacation today!,,2018-06-25 11:47:44,2018-10-02 11:02:53,1
